code,fund_type,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
590006,hh,中邮中小盘灵活配置混合,2021-11-12,2.931,3.51,1.28,4.38,18.52,8.8,37.93,40.85,108.13,156.78,24.83,313.31,0.15%,http://fund.eastmoney.com/590006.html
398051,hh,中海环保新能源混合,2021-11-12,3.202,3.393,1.52,2.76,18.5,10.68,74.09,96.84,297.77,326.81,62.67,244.87,0.15%,http://fund.eastmoney.com/398051.html
004926,hh,中航军民融合精选A,2021-11-12,1.7842,1.7842,2.99,7.44,18.42,9.99,18.48,26.8,81.84,95.53,14.56,78.4,0.15%,http://fund.eastmoney.com/004926.html
004927,hh,中航军民融合精选C,2021-11-12,1.7648,1.7648,2.99,7.43,18.4,9.95,18.41,26.66,81.36,94.43,14.45,76.46,0.00%,http://fund.eastmoney.com/004927.html
002292,hh,诺安益鑫灵活配置混合,2021-11-12,1.6297,1.6297,1.05,4.57,18.39,15.08,25.92,24.47,53.07,67.1,18.86,62.97,0.15%,http://fund.eastmoney.com/002292.html
004784,gp,招商稳健优选股票,2021-11-12,3.7595,3.7595,0.81,2.28,18.36,16.49,67.1,91.84,235.19,425.8,72.49,275.95,0.15%,http://fund.eastmoney.com/004784.html
000535,hh,长盛航天海工装备灵活配置混合,2021-11-12,1.974,2.518,3.19,7.11,18.35,6.93,49.77,53.3,120.52,132.53,20.24,208.18,0.15%,http://fund.eastmoney.com/000535.html
004895,hh,华商鑫安灵活混合,2021-11-12,2.794,2.92,1.16,4.8,18.29,16.66,50.22,52.43,237.8,288.8,42.77,214.15,0.15%,http://fund.eastmoney.com/004895.html
001245,gp,工银生态环境股票,2021-11-12,3.001,3.001,1.39,2.67,18.24,8.77,86.51,104.29,292.8,431.15,67.75,200.1,0.15%,http://fund.eastmoney.com/001245.html
001056,hh,北信瑞丰健康生活,2021-11-12,1.972,1.972,2.28,2.07,18.23,11.29,54.79,54.91,118.14,161.19,44.57,97.2,0.15%,http://fund.eastmoney.com/001056.html
001656,hh,农银中国优势灵活配置混合,2021-11-12,2.5126,2.5126,2.53,6.22,18.22,12.51,30.44,41.59,136.61,188.14,25.73,151.26,0.15%,http://fund.eastmoney.com/001656.html
002345,hh,华夏高端制造混合,2021-11-12,2.08,2.08,2.51,4.63,18.11,2.87,48.36,67.07,181.08,226.53,31.81,108.0,0.15%,http://fund.eastmoney.com/002345.html
001740,hh,光大中国制造2025混合,2021-11-12,2.959,3.106,1.51,3.5,18.08,2.42,36.93,46.2,189.31,207.6,30.23,227.54,0.15%,http://fund.eastmoney.com/001740.html
008180,hh,同泰慧利混合A,2021-11-12,1.7201,1.7201,1.01,4.15,18.07,13.05,31.13,57.22,,,43.88,72.01,0.15%,http://fund.eastmoney.com/008180.html
008181,hh,同泰慧利混合C,2021-11-12,1.7108,1.7108,1.02,4.15,18.04,12.95,30.87,56.61,,,43.39,71.08,0.00%,http://fund.eastmoney.com/008181.html
168501,hh,北信瑞丰产业升级,2021-11-12,3.1781,3.1781,2.25,2.21,18.01,11.58,54.25,67.48,215.44,266.35,29.79,217.81,0.15%,http://fund.eastmoney.com/168501.html
001743,hh,诺安优选回报混合,2021-11-12,1.733,1.983,2.06,6.58,17.81,3.77,33.31,53.09,70.54,106.41,57.98,115.9,0.15%,http://fund.eastmoney.com/001743.html
000609,hh,华商新量化混合,2021-11-12,3.223,3.773,0.72,3.57,17.71,6.93,31.07,31.6,141.06,239.26,21.99,377.07,0.15%,http://fund.eastmoney.com/000609.html
008009,gp,华商高端装备制造股票,2021-11-12,2.9977,2.9977,1.86,4.86,17.61,9.68,71.55,77.25,,,56.78,199.77,0.15%,http://fund.eastmoney.com/008009.html
002669,hh,华商万众创新混合,2021-11-12,3.306,3.306,1.04,4.52,17.61,17.44,52.07,56.39,242.24,411.76,45.32,230.6,0.15%,http://fund.eastmoney.com/002669.html
