,fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
1703,hh,010031,华泰柏瑞生物医药混合C,2021-06-25,3.4815,3.4815,2.75,5.22,5.29,37.52,26.76,,,,25.82,34.82,0.00%,http://fund.eastmoney.com/010031.html
943,gp,010129,宝盈发展新动能股票C,2021-06-25,1.313,1.313,0.75,2.58,14.15,37.4,24.16,,,,19.61,31.3,0.00%,http://fund.eastmoney.com/010129.html
1576,hh,001675,江信同福A,2021-06-25,1.5092,1.5477,1.06,6.96,15.56,37.35,17.87,40.46,52.23,61.46,19.2,56.74,0.05%,http://fund.eastmoney.com/001675.html
2069,hh,001279,中海积极增利混合,2021-06-25,2.336,2.336,1.08,4.1,17.98,37.17,29.35,70.26,155.58,197.2,26.48,133.6,0.15%,http://fund.eastmoney.com/001279.html
1571,hh,010412,汇安均衡优选混合,2021-06-25,1.0795,1.0795,1.64,7.36,13.78,37.17,,,,,,7.95,0.15%,http://fund.eastmoney.com/010412.html
1577,hh,001676,江信同福C,2021-06-25,1.4668,1.5003,1.06,6.94,15.51,37.17,17.57,39.74,50.7,59.18,18.89,51.59,0.00%,http://fund.eastmoney.com/001676.html
31,gp,164905,交银新能源指数(LOF),2021-06-25,1.317,1.3832,1.46,6.04,15.33,37.12,15.9,76.65,120.38,107.59,16.29,38.32,0.12%,http://fund.eastmoney.com/164905.html
3913,hh,257070,国联安优选行业混合,2021-06-25,3.7977,4.0987,2.06,1.98,10.07,36.73,21.89,25.11,181.0,201.21,15.57,367.93,0.15%,http://fund.eastmoney.com/257070.html
2160,hh,006132,万家智造优势混合A,2021-06-25,3.1705,3.1705,1.32,3.91,12.66,36.71,23.19,57.7,164.76,,22.77,217.05,0.15%,http://fund.eastmoney.com/006132.html
1581,hh,001753,红土创新新兴产业混合,2021-06-25,1.678,1.678,1.7,6.68,14.38,36.64,11.57,72.1,125.23,117.64,11.57,67.8,0.15%,http://fund.eastmoney.com/001753.html
2010,hh,008997,同泰竞争优势混合A,2021-06-25,1.4627,1.4627,2.92,4.2,2.45,36.61,21.17,41.97,,,18.26,46.27,0.15%,http://fund.eastmoney.com/008997.html
2076,hh,008640,方正富邦科技创新A,2021-06-25,2.0423,2.0423,1.83,4.08,13.39,36.57,21.05,98.07,,,17.7,104.23,0.15%,http://fund.eastmoney.com/008640.html
2159,hh,006133,万家智造优势混合C,2021-06-25,3.0994,3.0994,1.32,3.91,12.61,36.54,22.88,56.92,161.99,,22.48,209.94,0.00%,http://fund.eastmoney.com/006133.html
5960,hh,001970,泰信鑫选灵活配置混合A,2021-06-25,1.414,1.414,0.0,-0.84,14.59,36.49,22.32,23.6,57.29,73.28,18.72,41.4,0.15%,http://fund.eastmoney.com/001970.html
2011,hh,008998,同泰竞争优势混合C,2021-06-25,1.4561,1.4561,2.93,4.2,2.42,36.49,20.96,41.42,,,18.05,45.61,0.00%,http://fund.eastmoney.com/008998.html
2080,hh,008641,方正富邦科技创新C,2021-06-25,2.0345,2.0345,1.83,4.07,13.36,36.47,20.86,97.58,,,17.53,103.45,0.00%,http://fund.eastmoney.com/008641.html
1680,hh,004890,中邮健康文娱混合,2021-06-25,2.4355,2.4355,1.84,5.44,9.27,36.36,16.19,45.98,166.17,170.31,12.31,143.55,0.15%,http://fund.eastmoney.com/004890.html
10,gp,011142,创金合信新材料新能源股票A,2021-06-25,1.23,1.23,1.8,6.92,15.34,36.33,,,,,22.91,23.0,0.15%,http://fund.eastmoney.com/011142.html
239,gp,003070,光大创业板量化优选C,2021-06-25,1.7577,1.7577,2.37,3.81,7.19,36.16,24.48,46.47,,,21.3,75.77,0.00%,http://fund.eastmoney.com/003070.html
1311,gp,001956,国联安科技动力,2021-06-25,2.356,2.356,1.97,1.74,9.82,36.15,21.92,26.81,174.5,164.87,15.65,135.6,0.15%,http://fund.eastmoney.com/001956.html
